orderID,prodID,sales,quantity,discount,profit
CA-2021-118255,US-OFF-BI-10003291,17.46,2,0,8.21
CA-2019-146703,US-OFF-ST-10001713,211.96,4,0,8.48
CA-2021-169194,US-TEC-AC-10002167,45,3,0,4.95
CA-2021-169194,US-TEC-PH-10003988,21.8,2,0,6.10
CA-2020-115742,US-OFF-BI-10004410,38.22,6,0,17.96
CA-2020-115742,US-OFF-LA-10002762,75.18,6,0,35.33
CA-2020-115742,US-FUR-FU-10001706,6.16,2,0,2.96
CA-2020-115742,US-FUR-CH-10003061,89.99,1,0,17.10
CA-2021-105816,US-OFF-FA-10000304,15.26,7,0,6.26
CA-2021-105816,US-TEC-PH-10002447,1029.95,5,0,298.69
CA-2021-111682,US-OFF-ST-10000604,208.56,6,0,52.14
CA-2021-111682,US-OFF-PA-10001569,32.4,5,0,15.55
CA-2021-111682,US-FUR-CH-10003968,319.41,5,0.1,7.10
CA-2021-111682,US-OFF-PA-10000587,14.56,2,0,6.99
CA-2021-111682,US-TEC-AC-10002167,30,2,0,3.30
CA-2021-111682,US-OFF-BI-10001460,48.48,4,0.2,16.36
CA-2021-111682,US-OFF-AR-10001868,1.68,1,0,0.84
CA-2020-135545,US-TEC-AC-10004633,13.98,2,0,6.15
CA-2020-135545,US-OFF-BI-10001078,25.824,6,0.2,9.36
CA-2020-135545,US-OFF-PA-10003892,146.73,3,0,68.96
CA-2020-135545,US-FUR-FU-10000397,79.76,4,0,22.33
2020-164175,US-FUR-CH-10001146,213.115,5,0.3,-15.22
CA-2019-106376,US-OFF-AR-10002671,1113.024,8,0.2,111.30
CA-2019-106376,US-TEC-PH-10002726,167.968,4,0.2,62.99
CA-2021-119823,US-OFF-PA-10000482,75.88,2,0,35.66
CA-2021-106075,US-OFF-BI-10004654,4.616,1,0.2,1.73
CA-2022-114440,US-OFF-PA-10004675,19.05,3,0,8.76
2020-134026,US-FUR-CH-10000513,831.936,8,0.2,-114.39
2020-134026,US-FUR-FU-10003708,97.04,2,0.2,1.21
2020-134026,US-OFF-ST-10004123,72.784,1,0.2,-18.20
2022-118038,US-OFF-BI-10004182,1.248,3,0.8,-1.93
2022-118038,US-FUR-FU-10000260,9.708,3,0.6,-5.82
2022-118038,US-OFF-ST-10000615,27.24,3,0.2,2.72
2019-147606,US-FUR-FU-10003194,19.3,5,0.6,-14.48
CA-2021-127208,US-OFF-AP-10002118,208.16,1,0,56.20
CA-2021-127208,US-OFF-BI-10002309,16.74,3,0,8.04
CA-2019-139451,US-OFF-AR-10002053,14.9,5,0,4.17
CA-2019-139451,US-OFF-ST-10002370,21.39,1,0,6.20
CA-2020-149734,US-OFF-EN-10000927,200.984,7,0.2,62.81
2022-119662,US-OFF-ST-10003656,230.376,3,0.2,-48.95
CA-2022-140088,US-FUR-CH-10000863,301.96,2,0,33.22
CA-2022-155558,US-TEC-AC-10001998,19.99,1,0,6.80
CA-2022-155558,US-OFF-LA-10000134,6.16,2,0,2.96
CA-2021-159695,US-OFF-ST-10003442,158.368,7,0.2,13.86
CA-2021-109806,US-OFF-AR-10004930,20.1,3,0,6.63
CA-2021-109806,US-TEC-PH-10004093,73.584,2,0.2,8.28
CA-2021-109806,US-OFF-PA-10000304,6.48,1,0,3.11
CA-2020-149587,US-OFF-PA-10003177,12.96,2,0,6.22
CA-2020-149587,US-FUR-FU-10003799,53.34,3,0,16.54
CA-2020-149587,US-OFF-BI-10002852,32.96,2,0,16.15
2022-109484,US-OFF-BI-10004738,5.682,1,0.7,-3.79
CA-2022-161018,US-FUR-FU-10000629,96.53,7,0,40.54
CA-2022-157833,US-OFF-BI-10001721,51.312,3,0.2,17.96
CA-2021-149223,US-OFF-AP-10000358,77.88,6,0,22.59
CA-2021-158568,US-OFF-PA-10003256,64.624,7,0.2,22.62
CA-2021-158568,US-TEC-AC-10001767,95.976,3,0.2,-10.80
CA-2021-158568,US-OFF-BI-10002609,1.788,3,0.8,-3.04
CA-2021-129903,US-OFF-PA-10004040,23.92,4,0,11.72
2020-156867,US-TEC-AC-10001552,238.896,6,0.2,-26.88
2020-156867,US-FUR-FU-10004006,102.36,3,0.2,-3.84
2020-156867,US-OFF-BI-10002794,36.882,3,0.7,-25.82
CA-2022-119004,US-TEC-AC-10003499,74.112,8,0.2,17.60
CA-2022-119004,US-TEC-PH-10002844,27.992,1,0.2,2.10
CA-2022-119004,US-OFF-AR-10000390,3.304,1,0.2,1.07
CA-2020-129476,US-TEC-AC-10000844,339.96,5,0.2,67.99
CA-2022-146780,US-FUR-FU-10001934,41.96,2,0,10.91
CA-2021-128867,US-OFF-AR-10000380,75.96,2,0,22.79
CA-2021-128867,US-OFF-BI-10003981,27.24,6,0,13.35
CA-2019-115259,US-OFF-FA-10000621,40.096,14,0.2,14.53
CA-2019-115259,US-OFF-EN-10002600,4.72,2,0.2,1.65
CA-2019-115259,US-OFF-PA-10004965,23.976,3,0.2,7.49
CA-2019-115259,US-OFF-EN-10002504,130.464,6,0.2,44.03
CA-2020-110457,US-FUR-TA-10001768,787.53,3,0,165.38
2020-136476,US-OFF-BI-10003650,157.794,1,0.7,-115.72
CA-2021-103730,US-FUR-FU-10002157,47.04,3,0,18.35
CA-2021-103730,US-OFF-BI-10003910,30.84,4,0,13.88
CA-2021-103730,US-OFF-ST-10000777,226.56,6,0,63.44
CA-2021-103730,US-OFF-EN-10002500,115.02,9,0,51.76
CA-2021-103730,US-TEC-PH-10003875,68.04,7,0,19.73
2019-152030,US-FUR-CH-10004063,600.558,3,0.3,-8.58
2019-134614,US-FUR-TA-10004534,617.7,6,0.5,-407.68
2022-107272,US-OFF-BI-10003274,2.388,2,0.7,-1.83
2022-107272,US-OFF-ST-10002974,243.992,7,0.2,30.50
2021-125969,US-FUR-CH-10001146,81.424,2,0.2,-9.16
2021-125969,US-FUR-FU-10003773,238.56,3,0,26.24
2022-164147,US-TEC-PH-10002293,59.97,5,0.4,-11.99
2022-164147,US-OFF-PA-10002377,78.304,2,0.2,29.36
2022-164147,US-OFF-FA-10002780,21.456,9,0.2,6.97
CA-2021-145583,US-OFF-PA-10001804,20.04,3,0,9.62
CA-2021-145583,US-OFF-PA-10001736,35.44,1,0,16.66
CA-2021-145583,US-OFF-AR-10001149,11.52,4,0,3.46
CA-2021-145583,US-OFF-FA-10002988,4.02,2,0,1.97
CA-2021-145583,US-OFF-BI-10004781,76.176,3,0.2,26.66
CA-2021-145583,US-OFF-SU-10001218,65.88,6,0,18.45
CA-2021-145583,US-FUR-FU-10001706,43.12,14,0,20.70
CA-2021-110366,US-FUR-FU-10004848,82.8,2,0.2,10.35
CA-2022-106180,US-OFF-AR-10000940,8.82,3,0,2.38
CA-2022-106180,US-OFF-EN-10004030,10.86,3,0,5.10
CA-2022-106180,US-OFF-PA-10004327,143.7,3,0,68.98
CA-2022-155376,US-OFF-AP-10001058,839.43,3,0,218.25
CA-2020-110744,US-OFF-ST-10003656,671.93,7,0,20.16
CA-2019-110072,US-FUR-FU-10000521,93.888,4,0.2,12.91
CA-2021-114489,US-TEC-PH-10000215,384.45,11,0,103.80
CA-2021-114489,US-TEC-PH-10001448,149.97,3,0,6.00
CA-2021-114489,US-FUR-CH-10000454,1951.84,8,0,585.55
CA-2021-114489,US-OFF-BI-10002735,171.55,5,0,80.63
CA-2021-158834,US-OFF-AP-10000326,157.92,5,0.2,17.77
CA-2021-158834,US-TEC-PH-10001254,203.184,2,0.2,15.24
CA-2020-124919,US-OFF-PA-10001950,58.38,7,0,26.27
CA-2020-124919,US-OFF-PA-10002254,105.52,4,0,48.54
CA-2020-124919,US-OFF-ST-10001590,80.88,6,0,21.03
CA-2020-118948,US-OFF-AR-10001547,6.63,3,0,1.79
CA-2019-104269,US-FUR-CH-10004063,457.568,2,0.2,51.48
CA-2021-114104,US-OFF-LA-10002475,14.62,2,0,6.87
CA-2021-114104,US-TEC-PH-10004536,944.93,7,0,236.23
CA-2021-162733,US-OFF-PA-10002751,5.98,1,0,2.69
CA-2020-119697,US-TEC-AC-10003657,54.384,2,0.2,1.36
CA-2021-154508,US-OFF-EN-10001990,28.4,5,0,13.35
CA-2021-113817,US-OFF-BI-10004002,27.68,2,0.2,9.69
CA-2019-139892,US-OFF-AR-10004441,9.936,3,0.2,2.73
CA-2019-139892,US-TEC-MA-10000822,8159.952,8,0.4,-1359.99
CA-2019-139892,US-OFF-ST-10000991,275.928,3,0.2,-58.63
CA-2019-139892,US-FUR-CH-10004287,1740.06,9,0.3,-24.86
CA-2019-139892,US-OFF-AR-10002656,32.064,6,0.2,6.81
CA-2019-139892,US-OFF-AP-10002518,177.98,5,0.8,-453.85
CA-2019-139892,US-TEC-PH-10003931,143.976,3,0.2,9.00
CA-2019-118962,US-OFF-PA-10000659,20.94,3,0,9.84
CA-2019-118962,US-OFF-PA-10001144,110.96,2,0,53.26
CA-2019-118962,US-FUR-CH-10003817,340.144,7,0.2,21.26
2019-100853,US-OFF-AP-10000891,52.448,2,0.8,-131.12
2019-100853,US-OFF-LA-10003148,20.16,4,0.2,6.55
2022-152366,US-OFF-AP-10002684,97.264,4,0.8,-243.16
2020-101511,US-FUR-CH-10004698,396.802,7,0.3,-11.34
2020-101511,US-OFF-SU-10002189,15.88,5,0.2,-3.77
CA-2020-137225,US-OFF-AR-10001940,3.28,1,0,1.41
CA-2019-166191,US-OFF-ST-10003455,24.816,2,0.2,1.86
CA-2019-166191,US-TEC-AC-10004659,408.744,7,0.2,76.64
CA-2019-158274,US-TEC-PH-10003273,503.96,4,0,131.03
CA-2019-158274,US-TEC-PH-10004896,149.95,5,0,41.99
CA-2019-158274,US-TEC-AC-10002345,29,2,0,7.25
CA-2021-105018,US-OFF-BI-10001890,7.16,2,0,3.44
CA-2019-123260,US-TEC-AC-10002323,176.8,8,0,22.98
CA-2021-157000,US-OFF-ST-10001328,37.224,3,0.2,3.72
CA-2021-157000,US-OFF-PA-10001950,20.016,3,0.2,6.26
CA-2020-102281,US-FUR-BO-10002613,899.136,4,0.2,112.39
CA-2020-102281,US-TEC-PH-10001552,71.76,6,0,20.09
CA-2020-102281,US-OFF-PA-10000061,51.84,8,0,24.88
CA-2020-102281,US-FUR-BO-10002545,626.352,3,0.2,46.98
CA-2020-102281,US-OFF-AR-10003514,19.9,5,0,6.57
CA-2020-131457,US-OFF-EN-10001509,14.28,7,0,6.71
CA-2019-140004,US-OFF-AR-10004685,7.408,2,0.2,1.20
CA-2019-140004,US-OFF-AR-10004027,6.048,3,0.2,1.59
CA-2022-107720,US-OFF-ST-10001414,46.26,3,0,12.03
2022-124303,US-OFF-BI-10000343,2.946,2,0.7,-2.26
2022-124303,US-OFF-PA-10002749,16.056,3,0.2,5.82
CA-2022-105074,US-OFF-PA-10002666,21.744,3,0.2,6.80
CA-2019-133690,US-FUR-TA-10004289,218.75,2,0.5,-161.88
CA-2019-133690,US-OFF-AP-10003622,2.6,1,0.2,0.29
2022-116701,US-OFF-AP-10003217,66.284,2,0.8,-178.97
CA-2022-126382,US-FUR-FU-10002960,35.168,7,0.2,9.67
CA-2022-108329,US-TEC-PH-10001918,444.768,4,0.2,44.48
CA-2022-135860,US-OFF-ST-10000642,83.92,4,0,5.87
CA-2022-135860,US-TEC-PH-10001700,131.98,2,0,35.63
CA-2022-135860,US-OFF-BI-10003274,15.92,4,0,7.48
CA-2022-135860,US-OFF-FA-10000134,52.29,9,0,16.21
CA-2022-135860,US-OFF-ST-10001522,91.99,1,0,3.68
CA-2020-101007,US-TEC-AC-10001266,20.8,2,0.2,6.50
CA-2020-146262,US-OFF-LA-10004544,23.68,2,0.2,8.88
CA-2020-146262,US-FUR-BO-10004695,452.45,5,0.5,-244.32
CA-2020-146262,US-TEC-PH-10002844,62.982,3,0.4,-14.70
CA-2020-146262,US-TEC-MA-10000864,1188,9,0.7,-950.40
CA-2020-146262,US-TEC-AC-10000109,89.584,2,0.2,4.48
CA-2021-130162,US-OFF-ST-10001328,93.06,6,0,26.06
CA-2021-130162,US-TEC-PH-10002563,302.376,3,0.2,22.68
CA-2020-169397,US-OFF-FA-10000585,5.584,2,0.2,1.81
CA-2020-169397,US-OFF-PA-10004000,22.704,6,0.2,8.23
CA-2020-169397,US-OFF-BI-10002852,19.776,4,0.7,-13.84
CA-2020-169397,US-FUR-FU-10000087,72.704,4,0.2,19.08
CA-2020-169397,US-TEC-MA-10001148,479.988,4,0.7,-383.99
CA-2020-169397,US-OFF-AR-10001958,27.168,2,0.2,2.72
CA-2020-163055,US-OFF-AR-10001026,2.2,1,0,0.97
CA-2020-163055,US-FUR-TA-10003748,622.45,5,0,136.94
CA-2020-163055,US-OFF-ST-10002485,21.98,1,0,0.22
2020-145436,US-FUR-CH-10004860,161.568,2,0.2,-28.27
2020-145436,US-FUR-CH-10004477,389.696,8,0.2,43.84
2019-156216,US-OFF-BI-10001679,18.648,7,0.7,-12.43
2022-100930,US-FUR-TA-10001705,233.86,2,0.45,-102.05
2022-100930,US-FUR-TA-10003473,620.6145,3,0.45,-248.25
2022-100930,US-OFF-BI-10001679,5.328,2,0.7,-3.55
2022-100930,US-FUR-FU-10004017,258.072,3,0.2,0.00
2022-100930,US-TEC-AC-10003832,617.976,3,0.2,-7.72
CA-2022-160514,US-OFF-PA-10002479,10.56,2,0,4.75
CA-2021-157749,US-OFF-PA-10003349,25.92,5,0.2,9.40
CA-2021-157749,US-FUR-FU-10000576,419.68,5,0.6,-356.73
CA-2021-157749,US-FUR-FU-10004351,11.688,3,0.6,-4.68
CA-2021-157749,US-TEC-PH-10000011,31.984,2,0.2,11.19
CA-2021-157749,US-FUR-TA-10002607,177.225,5,0.5,-120.51
CA-2021-157749,US-FUR-FU-10002505,4.044,3,0.6,-2.83
CA-2021-157749,US-OFF-AR-10004685,7.408,2,0.2,1.20
CA-2019-131926,US-FUR-CH-10004063,2001.86,7,0,580.54
CA-2019-131926,US-OFF-ST-10002276,166.72,2,0,41.68
CA-2019-131926,US-OFF-PA-10004082,47.88,6,0,23.94
CA-2019-131926,US-OFF-AP-10002945,1503.25,5,0,496.07
CA-2019-131926,US-OFF-PA-10000061,25.92,4,0,12.44
CA-2021-154739,US-FUR-CH-10002965,321.568,2,0.2,28.14
CA-2021-145625,US-OFF-PA-10004569,7.61,1,0,3.58
CA-2021-145625,US-TEC-AC-10003832,3347.37,13,0,636.00
CA-2021-146941,US-OFF-ST-10001228,80.58,6,0,22.56
CA-2021-146941,US-OFF-EN-10003296,361.92,4,0,162.86
2020-159982,US-FUR-FU-10002505,12.132,9,0.6,-8.49
2020-159982,US-OFF-ST-10004804,82.368,2,0.2,-19.56
2020-159982,US-OFF-ST-10001590,53.92,5,0.2,4.04
2020-159982,US-TEC-PH-10001580,647.904,6,0.2,56.69
CA-2022-163139,US-TEC-AC-10000290,20.37,3,0,6.93
CA-2022-163139,US-OFF-ST-10002790,221.55,3,0,6.65
CA-2022-163139,US-OFF-BI-10003460,17.52,5,0.2,6.13
2022-155299,US-OFF-AP-10002203,1.624,2,0.8,-4.47
2019-106992,US-TEC-MA-10000822,3059.982,3,0.4,-510.00
2019-106992,US-TEC-MA-10003353,2519.958,7,0.4,-252.00
CA-2021-125318,US-TEC-PH-10001433,328.224,4,0.2,28.72
CA-2020-155040,US-TEC-AC-10004469,79.9,2,0,35.16
CA-2022-136826,US-OFF-AR-10003602,14.016,3,0.2,4.73
CA-2021-111010,US-OFF-FA-10003472,7.56,6,0,0.30
2022-145366,US-OFF-ST-10004180,37.208,1,0.2,-7.44
2022-145366,US-OFF-EN-10004386,57.576,3,0.2,21.59
CA-2022-163979,US-OFF-ST-10003208,725.84,4,0,210.49
CA-2020-155334,US-TEC-AC-10003628,209.93,7,0,92.37
CA-2020-155334,US-FUR-FU-10003274,5.28,3,0,2.32
CA-2020-155334,US-OFF-BI-10002557,10.92,3,0.2,4.10
CA-2022-118136,US-OFF-PA-10002615,8.82,2,0,4.06
CA-2022-118136,US-OFF-AR-10001427,5.98,1,0,1.55
CA-2022-132976,US-OFF-PA-10000673,11.648,2,0.2,4.08
CA-2022-132976,US-OFF-PA-10004470,18.176,4,0.2,5.91
CA-2022-132976,US-OFF-ST-10000876,59.712,6,0.2,5.97
CA-2022-132976,US-OFF-LA-10002043,24.84,3,0.2,8.69
2020-161991,US-OFF-BI-10004967,2.08,5,0.8,-3.43
2020-161991,US-TEC-PH-10001760,1114.4,7,0.2,376.11
CA-2020-130890,US-FUR-TA-10002903,1038.84,5,0.2,51.94
CA-2020-130883,US-OFF-PA-10000474,141.76,5,0.2,47.84
CA-2020-130883,US-TEC-AC-10001956,239.8,5,0.2,47.96
CA-2020-130883,US-OFF-PA-10004100,31.104,6,0.2,10.89
CA-2021-112697,US-OFF-BI-10000778,254.058,7,0.7,-169.37
CA-2021-112697,US-OFF-AP-10002684,194.528,2,0.2,24.32
CA-2021-112697,US-OFF-SU-10000646,961.48,5,0.2,-204.31
CA-2021-110772,US-OFF-FA-10002983,19.096,7,0.2,6.68
CA-2021-110772,US-OFF-LA-10004689,18.496,8,0.2,6.24
CA-2021-110772,US-TEC-AC-10002001,255.984,2,0.2,54.40
CA-2021-110772,US-FUR-BO-10004709,86.97,3,0.5,-48.70
CA-2019-111451,US-FUR-FU-10004091,300.416,8,0.2,78.86
CA-2019-111451,US-FUR-CH-10001891,230.352,3,0.2,20.16
CA-2019-111451,US-FUR-FU-10002918,218.352,3,0.2,-24.56
CA-2019-111451,US-OFF-BI-10004593,78.6,5,0.7,-62.88
CA-2019-111451,US-OFF-FA-10004854,27.552,3,0.2,9.30
CA-2021-142545,US-OFF-PA-10002105,32.4,5,0,15.55
CA-2021-142545,US-OFF-ST-10002756,1082.48,8,0,10.82
CA-2021-142545,US-OFF-PA-10004243,56.91,3,0,27.32
CA-2021-142545,US-FUR-FU-10001861,77.6,4,0,38.02
CA-2021-142545,US-OFF-BI-10002706,14.28,1,0,6.57
2022-152380,US-FUR-TA-10002533,219.075,3,0.5,-131.45
CA-2020-144253,US-FUR-FU-10002671,26.8,2,0,12.86
CA-2019-130960,US-OFF-AR-10003651,9.84,3,0,2.85
CA-2019-111003,US-OFF-BI-10001072,45.48,3,0,20.92
CA-2019-111003,US-OFF-AR-10002135,289.2,6,0,83.87
CA-2022-126774,US-OFF-AR-10002804,4.89,1,0,2.00
CA-2021-142902,US-FUR-FU-10001918,15.136,4,0.2,3.59
CA-2021-142902,US-FUR-CH-10004086,466.768,2,0.2,52.51
CA-2021-142902,US-FUR-FU-10001756,15.232,1,0.2,1.71
CA-2021-142902,US-OFF-LA-10000634,6.264,3,0.2,2.04
CA-2019-120887,US-FUR-FU-10001588,87.54,3,0,37.64
CA-2019-167850,US-TEC-PH-10002398,178.384,2,0.2,22.30
CA-2019-167850,US-OFF-PA-10001937,15.552,3,0.2,5.44
CA-2019-164259,US-OFF-AR-10003373,99.136,4,0.2,8.67
CA-2019-164973,US-FUR-CH-10002602,135.882,1,0.1,24.16
CA-2019-164973,US-TEC-MA-10002927,3991.98,2,0,1995.99
CA-2019-164973,US-TEC-PH-10004093,275.94,6,0,80.02
CA-2019-164973,US-TEC-AC-10000892,360,4,0,129.60
CA-2019-164973,US-OFF-ST-10002974,43.57,1,0,13.07
CA-2019-156601,US-OFF-FA-10000624,7.16,2,0,3.58
CA-2021-162138,US-OFF-BI-10004593,251.52,6,0.2,81.74
CA-2021-162138,US-TEC-AC-10001908,99.99,1,0,35.00
CA-2022-153339,US-FUR-FU-10001967,15.992,1,0.2,1.00
2021-141544,US-TEC-PH-10003645,290.898,3,0.4,-67.88
2021-141544,US-OFF-ST-10000675,54.224,2,0.2,3.39
2021-141544,US-FUR-CH-10003312,786.744,4,0.3,-258.50
2021-141544,US-OFF-LA-10001074,100.24,10,0.2,33.83
2021-141544,US-OFF-BI-10001524,37.764,6,0.7,-27.69
2021-150147,US-TEC-PH-10004614,82.8,2,0.4,-20.70
2021-150147,US-OFF-BI-10001153,20.724,2,0.7,-13.82
2021-150147,US-OFF-BI-10001982,4.896,3,0.7,-3.43
CA-2020-137946,US-OFF-BI-10001922,4.752,1,0.2,1.60
CA-2020-137946,US-TEC-CO-10001449,959.984,2,0.2,335.99
CA-2020-137946,US-OFF-BI-10004140,14.368,4,0.2,4.49
CA-2019-129924,US-OFF-BI-10003314,7.712,2,0.2,2.80
CA-2019-129924,US-FUR-TA-10004575,698.352,3,0.2,-17.46
CA-2020-128167,US-OFF-FA-10000490,4.96,4,0,2.33
CA-2019-122336,US-OFF-AR-10000122,17.856,4,0.2,1.12
CA-2019-122336,US-OFF-BI-10003656,509.97,10,0.7,-407.98
CA-2019-122336,US-OFF-FA-10002780,30.992,13,0.2,10.07
CA-2019-122336,US-TEC-PH-10000702,71.928,12,0.4,8.39
2020-120712,US-OFF-ST-10000107,88.8,4,0.2,-2.22
CA-2022-169901,US-TEC-PH-10002293,47.976,3,0.2,4.80
CA-2022-134306,US-OFF-AR-10004027,7.56,3,0,3.10
CA-2022-134306,US-OFF-PA-10000249,24.56,2,0,11.54
CA-2022-134306,US-OFF-AR-10001374,12.96,2,0,4.15
CA-2021-129714,US-TEC-AC-10000290,6.79,1,0,2.31
CA-2021-129714,US-OFF-PA-10001970,24.56,2,0,11.54
CA-2021-129714,US-OFF-BI-10002160,3.048,1,0.2,1.07
CA-2021-129714,US-OFF-BI-10004995,4355.168,4,0.2,1415.43
CA-2021-138520,US-FUR-BO-10002268,388.704,6,0.2,-4.86
CA-2021-138520,US-OFF-EN-10001137,8.26,2,0,3.80
CA-2021-138520,US-OFF-AR-10002399,17.04,4,0,6.99
CA-2021-138520,US-OFF-PA-10002713,34.4,5,0,15.82
CA-2021-130001,US-OFF-PA-10002666,36.24,5,0.2,11.33
CA-2022-155698,US-OFF-AP-10001124,647.84,8,0,168.44
CA-2022-155698,US-OFF-LA-10001158,20.7,2,0,9.94
CA-2022-144904,US-OFF-LA-10001158,20.7,2,0,9.94
CA-2022-144904,US-FUR-CH-10000785,488.646,3,0.1,86.87
CA-2022-144904,US-OFF-AR-10003732,5.56,2,0,1.45
CA-2022-144904,US-FUR-FU-10000023,47.12,8,0,20.73
CA-2019-123344,US-OFF-ST-10001713,211.96,4,0,8.48
CA-2021-155516,US-OFF-BI-10002412,23.2,4,0,10.44
CA-2021-155516,US-OFF-SU-10001225,7.36,2,0,0.15
CA-2021-155516,US-OFF-ST-10002406,104.79,7,0,29.34
CA-2021-155516,US-FUR-BO-10002545,1043.92,4,0,271.42
CA-2022-104745,US-OFF-PA-10002036,25.92,5,0.2,9.40
CA-2022-104745,US-OFF-ST-10002205,53.424,3,0.2,4.67
2019-119137,US-OFF-BI-10001982,8.16,5,0.7,-5.71
2019-119137,US-TEC-AC-10003911,1023.936,8,0.2,179.19
2019-119137,US-OFF-AR-10000658,9.24,1,0.2,0.92
2019-119137,US-TEC-AC-10002076,479.04,10,0.2,-29.94
2021-134656,US-OFF-PA-10003039,99.136,4,0.2,30.98
2022-134481,US-FUR-TA-10004915,1488.424,7,0.3,-297.68
CA-2020-130792,US-OFF-AP-10000696,8.652,3,0.8,-20.33
CA-2020-130792,US-OFF-ST-10003327,23.832,3,0.2,2.68
CA-2020-130792,US-OFF-BI-10000309,12.176,4,0.8,-18.87
CA-2021-134775,US-OFF-PA-10004734,50.96,7,0,25.48
CA-2021-134775,US-OFF-BI-10002225,49.536,3,0.2,17.34
CA-2020-125395,US-TEC-AC-10004708,41.9,2,0,8.80
2020-168935,US-FUR-TA-10000617,375.4575,3,0.45,-157.01
2020-168935,US-TEC-AC-10002335,83.976,3,0.2,-1.05
CA-2020-122756,US-TEC-MA-10001681,482.34,4,0.7,-337.64
CA-2020-122756,US-FUR-FU-10001935,2.96,1,0.2,0.78
CA-2019-115973,US-OFF-AR-10004757,2.624,1,0.2,0.43
CA-2022-101798,US-OFF-BI-10000050,23.36,4,0.2,7.88
CA-2022-101798,US-TEC-AC-10001998,39.98,2,0,13.59
2019-135972,US-TEC-PH-10003012,246.384,2,0.2,27.72
2019-135972,US-TEC-CO-10002313,1799.97,3,0,701.99
2019-134971,US-OFF-BI-10003982,12.462,3,0.8,-20.56
CA-2022-102946,US-OFF-BI-10004492,75.792,3,0.2,25.58
CA-2022-165603,US-OFF-ST-10000798,49.96,2,0,9.49
CA-2022-165603,US-OFF-PA-10002552,12.96,2,0,6.22
CA-2020-122259,US-OFF-SU-10002573,70.12,4,0,21.04
CA-2021-108987,US-OFF-ST-10001580,35.952,3,0.2,3.60
CA-2021-108987,US-FUR-BO-10004834,2396.2656,4,0.32,-317.15
CA-2021-108987,US-OFF-ST-10000934,131.136,4,0.2,-32.78
