orderID,orderDate,shipDate,shipMode,segment,custID,storeID,isReturned
2019-119081,2019-09-12,2019-09-19,Standard Class,Home Office,TA-21385,1283,0
2019-119137,2019-07-23,2019-07-27,Standard Class,Consumer,AG-10900,1098,0
2019-120175,2019-11-28,2019-12-03,Standard Class,Corporate,MC-17635,1211,0
2019-120236,2019-09-03,2019-09-04,First Class,Home Office,MR-17545,1012,0
2019-120313,2019-10-31,2019-11-02,Second Class,Home Office,NL-18310,1008,0
2019-120740,2019-04-15,2019-04-15,Same Day,Home Office,PS-18970,1001,0
2019-121566,2019-06-30,2019-07-06,Standard Class,Consumer,CS-11860,1020,0
2019-121734,2019-04-11,2019-04-16,Standard Class,Consumer,SE-20110,1472,0
2019-122021,2019-10-15,2019-10-17,First Class,Consumer,AC-10660,1244,0
2019-122959,2019-12-12,2019-12-12,Same Day,Corporate,CY-12745,1052,0
2019-123183,2019-11-19,2019-11-25,Standard Class,Corporate,GR-14560,1040,0
2019-123519,2019-12-14,2019-12-21,Standard Class,Consumer,SS-20875,1340,0
2019-124625,2019-11-03,2019-11-07,Standard Class,Corporate,SP-20650,1172,0
2019-125521,2019-03-14,2019-03-19,Standard Class,Home Office,CK-12325,1309,0
2019-126340,2019-11-08,2019-11-14,Standard Class,Consumer,EB-13870,1520,0
2019-126571,2019-10-11,2019-10-15,Standard Class,Consumer,JF-15565,1010,0
2019-127635,2019-09-14,2019-09-18,Second Class,Corporate,SC-20260,1385,0
2019-127978,2019-03-03,2019-03-08,Standard Class,Corporate,JS-15595,1038,0
2019-128685,2019-04-04,2019-04-05,First Class,Corporate,MZ-17515,1001,0
2019-129609,2019-03-22,2019-03-22,Same Day,Consumer,VM-21835,1461,0
2019-130358,2019-06-23,2019-06-26,First Class,Consumer,DL-13330,1003,0
2019-130379,2019-05-25,2019-05-29,Standard Class,Consumer,JL-15235,1022,0
2019-131275,2019-03-18,2019-03-24,Standard Class,Home Office,SC-20050,1561,0
2019-131870,2019-09-09,2019-09-11,First Class,Home Office,NF-18595,1375,0
2019-131982,2019-03-07,2019-03-11,Second Class,Home Office,NP-18685,1102,0
2019-132745,2019-10-01,2019-10-05,Standard Class,Home Office,NF-18475,1217,0
2019-133130,2019-09-27,2019-10-01,Standard Class,Consumer,TH-21100,1073,0
2019-133949,2019-12-31,2019-12-31,Same Day,Home Office,JL-15175,1217,0
2019-134054,2019-10-10,2019-10-10,Same Day,Corporate,FC-14335,1355,0
2019-134187,2019-11-04,2019-11-11,Standard Class,Corporate,TH-21235,1089,0
2019-134614,2019-09-20,2019-09-25,Standard Class,Consumer,PF-19165,1041,0
2019-134712,2019-11-29,2019-12-04,Standard Class,Corporate,BS-11380,1274,0
2019-134733,2019-09-23,2019-09-28,Standard Class,Corporate,BM-11650,1073,0
2019-134971,2019-06-07,2019-06-10,Second Class,Corporate,BP-11095,1103,0
2019-135881,2019-05-23,2019-05-27,Standard Class,Consumer,GT-14710,1020,0
2019-135972,2019-09-21,2019-09-23,Second Class,Consumer,JG-15115,1102,0
2019-137155,2019-11-01,2019-11-05,Standard Class,Consumer,DL-12925,1228,0
2019-137680,2019-02-24,2019-03-02,Standard Class,Consumer,JH-15430,1298,0
2019-137869,2019-03-28,2019-04-02,Standard Class,Consumer,CV-12295,1167,0
2019-138247,2019-12-24,2019-12-29,Standard Class,Home Office,BF-11170,1001,0
2019-138758,2019-07-07,2019-07-11,Standard Class,Consumer,JL-15835,1010,0
2019-138828,2019-09-02,2019-09-03,First Class,Consumer,KD-16345,1020,0
2019-138835,2019-09-10,2019-09-14,Standard Class,Home Office,DA-13450,1194,0
2019-139500,2019-11-16,2019-11-20,Standard Class,Consumer,AB-10165,1053,0
2019-139640,2019-11-07,2019-11-11,Second Class,Consumer,TB-21595,1032,0
2019-140116,2019-03-10,2019-03-17,Standard Class,Consumer,KT-16480,1061,0
2019-140452,2019-12-06,2019-12-10,Standard Class,Consumer,BK-11260,1022,0
2019-140914,2019-11-11,2019-11-15,Standard Class,Consumer,BH-11710,1022,0
2019-141215,2019-06-15,2019-06-21,Standard Class,Corporate,KL-16555,1052,0
2019-141257,2019-06-08,2019-06-14,Standard Class,Consumer,CS-11950,1004,0
2019-143231,2019-12-31,2020-01-03,First Class,Home Office,GM-14455,1100,0
2019-143287,2019-11-11,2019-11-17,Standard Class,Home Office,KN-16705,1114,0
2019-143581,2019-08-19,2019-08-23,Standard Class,Corporate,BS-11365,1095,0
2019-143707,2019-03-01,2019-03-05,Standard Class,Home Office,HR-14770,1020,0
2019-143721,2019-11-23,2019-11-26,Second Class,Corporate,DK-12835,1012,0
2019-144078,2019-11-25,2019-11-29,Standard Class,Consumer,RB-19435,1001,0
2019-146353,2019-10-14,2019-10-16,Second Class,Corporate,JE-15610,1182,0
2019-147606,2019-11-26,2019-12-01,Second Class,Consumer,JE-15745,1012,0
2019-147627,2019-01-20,2019-01-26,Standard Class,Consumer,HL-15040,1210,0
2019-147648,2019-11-26,2019-12-01,Standard Class,Home Office,LS-16975,1008,0
2019-147704,2019-11-16,2019-11-21,Standard Class,Home Office,SR-20740,1435,0
2019-147774,2019-01-20,2019-01-26,Standard Class,Corporate,MM-18280,1270,0
2019-148194,2019-05-04,2019-05-07,First Class,Corporate,BS-11365,1004,0
2019-148838,2019-03-17,2019-03-21,Standard Class,Corporate,CP-12340,1020,0
2019-149034,2019-11-19,2019-11-21,First Class,Consumer,RD-19900,1010,0
2019-150119,2019-04-23,2019-04-27,Standard Class,Home Office,LB-16795,1038,0
2019-150126,2019-07-27,2019-08-02,Standard Class,Corporate,AS-10045,1020,0
2019-150434,2019-07-19,2019-07-24,Standard Class,Corporate,CA-12310,1292,0
2019-150532,2019-07-14,2019-07-21,Standard Class,Consumer,PB-19150,1042,0
2019-150574,2019-12-19,2019-12-25,Standard Class,Consumer,MK-18160,1116,0
2019-150924,2019-09-12,2019-09-16,Second Class,Consumer,PT-19090,1012,0
2019-151015,2019-10-14,2019-10-20,Standard Class,Consumer,BD-11500,1022,0
2019-151925,2019-09-26,2019-10-01,Second Class,Consumer,KT-16465,1001,0
2019-152030,2019-12-26,2019-12-28,Second Class,Home Office,AD-10180,1012,0
2019-152723,2019-09-26,2019-09-26,Same Day,Corporate,HG-14965,1323,0
2019-154655,2019-10-12,2019-10-17,Standard Class,Corporate,BP-11050,1022,0
2019-154879,2019-05-06,2019-05-11,Standard Class,Home Office,SN-20710,1001,0
2019-155502,2019-01-26,2019-01-31,Standard Class,Home Office,SD-20485,1186,0
2019-155544,2019-03-21,2019-03-25,Standard Class,Consumer,GM-14440,1337,0
2019-155817,2019-10-03,2019-10-09,Standard Class,Home Office,SL-20155,1028,0
2019-155894,2019-07-26,2019-07-30,Second Class,Consumer,CL-11890,1022,0
2019-156216,2019-09-13,2019-09-17,Standard Class,Corporate,EA-14035,1035,0
2019-156559,2019-08-19,2019-08-26,Standard Class,Consumer,LH-16900,1210,0
2019-157021,2019-04-01,2019-04-06,Second Class,Consumer,KM-16720,1144,0
2019-157070,2019-06-01,2019-06-06,Standard Class,Corporate,QJ-19255,1068,0
2019-157231,2019-04-05,2019-04-09,Standard Class,Corporate,RP-19855,1109,0
2019-157385,2019-11-23,2019-11-25,First Class,Consumer,SC-20095,1001,0
2019-157406,2019-04-25,2019-04-29,Standard Class,Home Office,DA-13450,1012,0
2019-157847,2019-04-02,2019-04-06,Second Class,Consumer,SC-20020,1012,0
2019-158057,2019-03-22,2019-03-26,Standard Class,Consumer,CC-12685,1280,0
2019-158365,2019-04-12,2019-04-17,Standard Class,Consumer,SV-20785,1435,0
2019-158400,2019-10-25,2019-10-28,First Class,Corporate,AH-10030,1008,0
2019-158638,2019-09-17,2019-09-21,Standard Class,Home Office,AG-10765,1010,0
2019-159611,2019-12-27,2020-01-01,Second Class,Consumer,KB-16315,1153,0
2019-159618,2019-11-12,2019-11-16,Standard Class,Corporate,DB-12970,1012,0
2019-159926,2019-11-18,2019-11-22,Standard Class,Consumer,CS-11950,1010,0
2019-160444,2019-07-05,2019-07-05,Same Day,Consumer,DC-12850,1012,0
2019-160780,2019-06-21,2019-06-21,Same Day,Consumer,SV-20785,1233,0
2019-161305,2019-06-06,2019-06-12,Standard Class,Consumer,SB-20170,1022,0
2019-161613,2019-12-01,2019-12-03,Second Class,Corporate,MC-17605,1012,0
2019-163146,2019-05-16,2019-05-20,Standard Class,Consumer,CC-12475,1008,0
2019-163797,2019-04-08,2019-04-13,Standard Class,Home Office,PC-19000,1495,0
2019-164406,2019-08-15,2019-08-19,Standard Class,Consumer,BD-11605,1008,0
2019-164616,2019-08-19,2019-08-21,Second Class,Consumer,MS-17770,1038,0
2019-164644,2019-07-22,2019-07-24,Second Class,Consumer,JL-15850,1012,0
2019-164763,2019-03-17,2019-03-21,Standard Class,Corporate,MH-17440,1112,0
2019-165589,2019-02-18,2019-02-18,Same Day,Consumer,TB-21595,1310,0
2019-165659,2019-06-01,2019-06-06,Standard Class,Consumer,LT-17110,1338,0
2019-165862,2019-07-13,2019-07-17,Standard Class,Corporate,GK-14620,1001,0
2019-166310,2019-09-21,2019-09-23,First Class,Home Office,JS-15940,1184,0
2019-166828,2019-08-22,2019-08-25,First Class,Consumer,JF-15415,1557,0
2019-167262,2019-10-31,2019-11-03,Second Class,Consumer,AC-10450,1481,0
2019-167633,2019-09-30,2019-10-05,Standard Class,Consumer,BW-11200,1224,0
2019-167738,2019-12-24,2019-12-29,Standard Class,Corporate,JC-16105,1001,0
2019-168501,2019-11-21,2019-11-27,Standard Class,Corporate,JK-15325,1062,0
2019-169390,2019-02-07,2019-02-10,Second Class,Corporate,CS-12250,1020,0
2019-169789,2019-12-30,2020-01-04,Standard Class,Corporate,MF-17665,1042,0
2020-100069,2020-06-29,2020-07-03,Standard Class,Home Office,NF-18475,1172,0
2020-100377,2020-08-28,2020-09-01,Standard Class,Corporate,TS-21370,1022,0
2020-100531,2020-09-27,2020-09-29,First Class,Consumer,NM-18520,1022,0
2020-101399,2020-01-17,2020-01-24,Standard Class,Home Office,JS-15940,1121,0
2020-101511,2020-11-21,2020-11-23,Second Class,Consumer,JE-15745,1046,0
2020-103471,2020-12-24,2020-12-28,Standard Class,Consumer,JR-15670,1081,0
2020-103996,2020-03-29,2020-03-31,Second Class,Consumer,RB-19435,1073,0
2020-104185,2020-09-03,2020-09-08,Second Class,Corporate,JB-15400,1020,0
2020-104430,2020-10-22,2020-10-26,Standard Class,Consumer,LT-17110,1041,0
2020-105676,2020-12-01,2020-12-02,Same Day,Consumer,NM-18520,1012,0
2020-106495,2020-06-15,2020-06-17,First Class,Consumer,AC-10450,1070,0
2020-106873,2020-09-24,2020-09-29,Second Class,Consumer,KM-16720,1481,0
2020-107349,2020-07-13,2020-07-15,First Class,Home Office,SL-20155,1012,0
2020-107944,2020-03-23,2020-03-25,First Class,Corporate,AM-10360,1001,0
2020-108966,2020-10-11,2020-10-18,Standard Class,Consumer,SO-20335,1002,0
2020-109015,2020-09-06,2020-09-12,Standard Class,Corporate,BS-11590,1020,0
2020-110163,2020-11-01,2020-11-04,First Class,Consumer,GA-14725,1139,0
2020-110261,2020-12-19,2020-12-23,Second Class,Consumer,PR-18880,1543,0
2020-110569,2020-05-23,2020-05-30,Standard Class,Consumer,EB-13870,1042,0
2020-111927,2020-11-14,2020-11-19,Standard Class,Consumer,LS-17230,1018,0
2020-112508,2020-03-24,2020-03-30,Standard Class,Corporate,BP-11185,1222,0
2020-113327,2020-05-26,2020-05-29,Second Class,Home Office,BF-11170,1196,0
2020-113593,2020-04-18,2020-04-20,First Class,Consumer,NC-18415,1532,0
2020-114741,2020-12-06,2020-12-10,Standard Class,Consumer,IL-15100,1256,0
2020-114839,2020-04-26,2020-04-30,Standard Class,Consumer,PW-19240,1012,0
2020-115238,2020-04-30,2020-05-04,Standard Class,Corporate,JW-15220,1111,0
2020-115343,2020-09-22,2020-09-25,First Class,Consumer,FO-14305,1010,0
2020-116981,2020-03-26,2020-03-28,Second Class,Corporate,SM-20950,1020,0
2020-117184,2020-05-17,2020-05-21,Standard Class,Corporate,ON-18715,1012,0
2020-117492,2020-08-07,2020-08-09,First Class,Corporate,NS-18640,1281,0
2020-118766,2020-10-15,2020-10-22,Standard Class,Home Office,LS-16975,1062,0
2020-118906,2020-03-10,2020-03-10,Same Day,Corporate,KB-16585,1207,0
2020-118983,2020-11-22,2020-11-26,Standard Class,Home Office,HP-14815,1005,0
2020-119312,2020-10-02,2020-10-07,Second Class,Home Office,CS-12400,1001,0
2020-120161,2020-12-18,2020-12-23,Standard Class,Consumer,LM-17065,1136,0
2020-120502,2020-04-13,2020-04-19,Standard Class,Corporate,BT-11395,1001,0
2020-120572,2020-12-11,2020-12-15,Standard Class,Consumer,GH-14425,1116,0
2020-120712,2020-12-20,2020-12-24,Standard Class,Consumer,CS-12130,1093,0
2020-120957,2020-12-07,2020-12-07,Same Day,Corporate,KH-16690,1189,0
2020-122140,2020-04-02,2020-04-07,Standard Class,Consumer,MO-17950,1062,0
2020-122784,2020-07-20,2020-07-27,Standard Class,Consumer,RA-19915,1390,0
2020-122910,2020-05-12,2020-05-16,Standard Class,Consumer,LT-16765,1110,0
2020-123218,2020-12-20,2020-12-25,Standard Class,Consumer,KD-16345,1022,0
2020-123918,2020-10-15,2020-10-15,Same Day,Consumer,CG-12520,1062,0
2020-123960,2020-06-11,2020-06-16,Standard Class,Consumer,BD-11605,1054,0
2020-124219,2020-08-07,2020-08-08,First Class,Consumer,KW-16570,1497,0
2020-125374,2020-03-23,2020-03-29,Standard Class,Consumer,JD-16060,1012,0
2020-126214,2020-12-21,2020-12-24,Second Class,Consumer,JS-15880,1004,0
2020-126235,2020-10-15,2020-10-15,Same Day,Consumer,GA-14725,1475,0
2020-126753,2020-08-16,2020-08-20,Standard Class,Corporate,SP-20860,1010,0
2020-126977,2020-09-17,2020-09-23,Standard Class,Consumer,PF-19120,1020,0
2020-127040,2020-12-06,2020-12-10,Standard Class,Consumer,SG-20605,1020,0
2020-128090,2020-08-16,2020-08-22,Standard Class,Consumer,JM-15865,1042,0
2020-128587,2020-12-24,2020-12-30,Standard Class,Corporate,HM-14860,1306,0
2020-129007,2020-09-13,2020-09-15,First Class,Corporate,KD-16615,1137,0
2020-129553,2020-07-27,2020-08-02,Standard Class,Consumer,PG-18820,1152,0
2020-129637,2020-12-17,2020-12-22,Standard Class,Consumer,MC-18100,1041,0
2020-130491,2020-02-08,2020-02-11,First Class,Consumer,BH-11710,1563,0
2020-130512,2020-08-21,2020-08-25,Standard Class,Home Office,SM-20320,1257,0
2020-130519,2020-09-15,2020-09-15,Same Day,Corporate,NG-18355,1222,0
2020-131359,2020-10-30,2020-11-02,Second Class,Corporate,FA-14230,1061,0
2020-131842,2020-12-05,2020-12-08,First Class,Corporate,RR-19525,1367,0
2020-132836,2020-06-01,2020-06-05,Standard Class,Consumer,AJ-10945,1068,0
2020-134026,2020-04-26,2020-05-02,Standard Class,Consumer,JE-15745,1026,0
2020-134271,2020-04-18,2020-04-23,Second Class,Consumer,RF-19735,1020,0
2020-134558,2020-12-19,2020-12-24,Second Class,Home Office,PM-19135,1327,0
2020-136259,2020-11-05,2020-11-08,First Class,Consumer,CB-12415,1318,0
2020-136427,2020-06-20,2020-06-23,First Class,Consumer,JM-16195,1034,0
2020-136476,2020-04-05,2020-04-10,Standard Class,Corporate,GG-14650,1039,0
2020-136749,2020-12-25,2020-12-27,Second Class,Consumer,LH-16900,1095,0
2020-136987,2020-04-11,2020-04-14,Second Class,Consumer,AR-10540,1001,0
2020-137008,2020-10-02,2020-10-08,Standard Class,Corporate,JP-15460,1084,0
2020-137533,2020-12-18,2020-12-18,Same Day,Home Office,JK-15640,1153,0
2020-137960,2020-12-18,2020-12-18,Same Day,Consumer,MW-18220,1020,0
2020-138093,2020-12-10,2020-12-16,Standard Class,Corporate,KM-16225,1281,0
2020-138121,2020-12-17,2020-12-17,Same Day,Consumer,JL-15835,1068,0
2020-138303,2020-09-03,2020-09-07,Standard Class,Consumer,MG-18145,1010,0
2020-138716,2020-09-17,2020-09-20,First Class,Corporate,CS-11845,1004,0
2020-138919,2020-09-17,2020-09-21,Standard Class,Home Office,LS-16975,1020,0
2020-139675,2020-03-13,2020-03-18,Second Class,Home Office,NF-18595,1521,0
2020-139759,2020-08-25,2020-08-30,Standard Class,Home Office,NL-18310,1001,0
2020-140200,2020-07-26,2020-07-28,First Class,Consumer,CA-12775,1134,0
2020-140851,2020-07-13,2020-07-15,Second Class,Corporate,ND-18460,1230,0
2020-141453,2020-11-30,2020-12-03,Second Class,Home Office,DB-13270,1093,0
2020-141684,2020-06-29,2020-07-04,Standard Class,Consumer,MM-18055,1020,0
2020-142020,2020-06-04,2020-06-08,Second Class,Home Office,TC-21535,1020,0
2020-142811,2020-04-02,2020-04-07,Standard Class,Consumer,JL-15850,1134,0
2020-144771,2020-10-02,2020-10-04,First Class,Consumer,CK-12205,1560,0
2020-145121,2020-10-02,2020-10-06,Standard Class,Corporate,MP-17965,1237,0
2020-145422,2020-12-03,2020-12-07,Standard Class,Consumer,PW-19240,1008,0
2020-145436,2020-02-28,2020-03-04,Standard Class,Consumer,VD-21670,1069,0
2020-146745,2020-09-03,2020-09-08,Standard Class,Home Office,AS-10630,1008,0
2020-147242,2020-09-10,2020-09-14,Standard Class,Corporate,EH-13765,1414,0
2020-147662,2020-02-14,2020-02-19,Standard Class,Consumer,KB-16315,1060,0
2020-147739,2020-12-25,2020-12-29,Standard Class,Corporate,JD-16150,1010,0
2020-148817,2020-12-01,2020-12-07,Standard Class,Corporate,KD-16495,1309,0
2020-149629,2020-07-17,2020-07-20,Second Class,Corporate,MP-17965,1426,0
2020-149692,2020-12-06,2020-12-12,Standard Class,Consumer,KW-16435,1093,0
2020-150161,2020-07-25,2020-07-29,Standard Class,Home Office,RB-19795,1010,0
2020-150231,2020-03-16,2020-03-20,Second Class,Home Office,JK-15640,1020,0
2020-150630,2020-09-17,2020-09-21,Standard Class,Consumer,TB-21520,1010,0
2020-151407,2020-11-08,2020-11-12,Standard Class,Consumer,RD-19585,1417,0
2020-151435,2020-09-06,2020-09-09,Second Class,Consumer,SW-20455,1272,0
2020-152128,2020-05-25,2020-05-27,Second Class,Home Office,NM-18445,1449,0
2020-153283,2020-11-12,2020-11-18,Standard Class,Consumer,EB-14110,1020,0
2020-153374,2020-02-09,2020-02-13,Second Class,Consumer,JF-15565,1053,0
2020-153500,2020-07-03,2020-07-05,First Class,Corporate,DG-13300,1010,0
2020-154389,2020-11-27,2020-12-03,Standard Class,Home Office,EH-14125,1010,0
2020-155369,2020-04-19,2020-04-25,Standard Class,Consumer,PG-18820,1269,0
2020-156496,2020-08-10,2020-08-16,Standard Class,Consumer,WB-21850,1286,0
2020-156797,2020-08-11,2020-08-15,Standard Class,Home Office,PO-19180,1020,0
2020-156867,2020-11-13,2020-11-17,Standard Class,Consumer,LC-16870,1034,0
2020-157014,2020-10-03,2020-10-06,Second Class,Consumer,BM-11785,1038,0
2020-157154,2020-01-10,2020-01-15,Standard Class,Consumer,MM-17920,1020,0
2020-158589,2020-11-20,2020-11-24,Standard Class,Consumer,KW-16570,1008,0
2020-158911,2020-07-05,2020-07-11,Standard Class,Corporate,RS-19765,1035,0
2020-159499,2020-11-21,2020-11-23,Second Class,Corporate,EM-14095,1042,0
2020-159513,2020-04-02,2020-04-09,Standard Class,Consumer,JD-15790,1001,0
2020-159982,2020-11-28,2020-12-04,Standard Class,Corporate,DR-12880,1022,0
2020-160150,2020-07-19,2020-07-20,First Class,Consumer,TS-21085,1042,0
2020-160563,2020-10-20,2020-10-24,Standard Class,Corporate,NS-18640,1008,0
2020-160857,2020-05-08,2020-05-15,Standard Class,Consumer,NW-18400,1020,0
2020-161347,2020-09-13,2020-09-19,Standard Class,Consumer,HG-14845,1010,0
2020-161466,2020-09-24,2020-09-27,Second Class,Corporate,ON-18715,1010,0
2020-161991,2020-09-26,2020-09-28,Second Class,Consumer,SC-20725,1012,0
2020-163279,2020-03-22,2020-03-26,Standard Class,Corporate,JD-16150,1073,0
2020-163433,2020-04-18,2020-04-22,Second Class,Corporate,MP-17965,1450,0
2020-163685,2020-06-01,2020-06-05,Standard Class,Corporate,KE-16420,1052,0
2020-163783,2020-12-27,2021-01-01,Standard Class,Home Office,DR-12940,1022,0
2020-163825,2020-06-16,2020-06-19,First Class,Consumer,LC-16885,1020,0
2020-164175,2020-04-30,2020-05-05,Standard Class,Home Office,PS-18970,1022,0
2020-164238,2020-08-16,2020-08-20,Standard Class,Consumer,JW-15955,1010,0
2020-164308,2020-09-24,2020-09-27,First Class,Home Office,SC-20680,1445,0
2020-164357,2020-11-25,2020-11-29,Standard Class,Consumer,SF-20065,1107,0
2020-164448,2020-10-31,2020-11-04,Second Class,Corporate,DK-12835,1179,0
2020-164966,2020-07-30,2020-08-01,First Class,Home Office,GH-14410,1072,0
2020-165449,2020-11-22,2020-11-26,Standard Class,Home Office,AP-10720,1378,0
2020-165512,2020-05-24,2020-05-26,Second Class,Consumer,VS-21820,1014,0
2020-165743,2020-11-20,2020-11-23,Second Class,Consumer,MM-18055,1034,0
2020-166520,2020-07-16,2020-07-19,First Class,Corporate,KE-16420,1020,0
2020-167220,2020-12-12,2020-12-16,Standard Class,Consumer,JB-15925,1093,0
2020-168704,2020-04-13,2020-04-17,Standard Class,Consumer,FP-14320,1124,0
2020-168732,2020-12-10,2020-12-16,Standard Class,Consumer,KM-16660,1209,0
2020-168914,2020-05-21,2020-05-27,Standard Class,Consumer,JE-15745,1500,0
2020-168935,2020-11-27,2020-12-02,Standard Class,Consumer,DO-13435,1101,0
2021-100405,2021-08-26,2021-08-28,Second Class,Corporate,TS-21430,1001,0
2021-100419,2021-12-16,2021-12-20,Second Class,Consumer,CC-12670,1022,0
2021-100461,2021-01-08,2021-01-12,Standard Class,Corporate,JO-15145,1047,0
2021-100566,2021-09-03,2021-09-09,Standard Class,Home Office,JK-16120,1150,0
2021-100720,2021-07-16,2021-07-21,Standard Class,Consumer,CK-12205,1010,0
2021-100839,2021-10-13,2021-10-17,Standard Class,Corporate,NC-18625,1034,0
2021-101196,2021-05-12,2021-05-17,Standard Class,Corporate,FM-14215,1010,0
2021-101497,2021-09-29,2021-10-01,Second Class,Consumer,PS-18760,1001,0
2021-101616,2021-09-03,2021-09-06,First Class,Corporate,CY-12745,1054,0
2021-102141,2021-08-26,2021-08-31,Standard Class,Corporate,KD-16615,1020,0
2021-102232,2021-08-05,2021-08-11,Standard Class,Corporate,MF-17665,1336,0
2021-102239,2021-05-05,2021-05-06,First Class,Corporate,LW-16990,1293,0
2021-103646,2021-04-21,2021-04-26,Standard Class,Corporate,SP-20545,1022,0
2021-103674,2021-12-06,2021-12-10,Standard Class,Home Office,AP-10720,1001,0
2021-104794,2021-12-16,2021-12-19,First Class,Corporate,KD-16495,1020,0
2021-104815,2021-09-03,2021-09-07,Standard Class,Consumer,RB-19570,1022,0
2021-105452,2021-07-28,2021-08-01,Standard Class,Home Office,BF-11005,1074,0
2021-105578,2021-05-30,2021-06-04,Standard Class,Corporate,MY-17380,1128,0
2021-105830,2021-12-31,2022-01-02,First Class,Consumer,DB-13660,1375,0
2021-106313,2021-08-22,2021-08-26,Standard Class,Corporate,DG-13300,1004,0
2021-106600,2021-04-08,2021-04-11,First Class,Consumer,RM-19375,1095,0
2021-106677,2021-11-05,2021-11-10,Standard Class,Corporate,AS-10285,1010,0
2021-107440,2021-04-16,2021-04-20,Standard Class,Corporate,BS-11365,1084,0
2021-108098,2021-10-14,2021-10-18,Standard Class,Corporate,CP-12340,1004,0
2021-108455,2021-12-02,2021-12-08,Standard Class,Consumer,MK-18160,1008,0
2021-108497,2021-06-14,2021-06-14,Same Day,Home Office,MH-17290,1001,0
2021-108504,2021-02-05,2021-02-05,Same Day,Home Office,PP-18955,1242,0
