Order ID,Returned
ES-2021-2299862,Yes
ES-2021-2385129,Yes
ES-2021-2385129,Yes
ES-2021-2385129,Yes
ES-2021-2411166,Yes
ES-2021-2411166,Yes
ES-2021-2411166,Yes
ES-2021-2439745,Yes
ES-2021-2504689,Yes
ES-2021-2524646,Yes
ES-2021-2524646,Yes
ES-2021-2524646,Yes
ES-2021-2557751,Yes
ES-2021-2557751,Yes
ES-2021-2557751,Yes
ES-2021-2638373,Yes
ES-2021-2697033,Yes
ES-2021-2731678,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2769035,Yes
ES-2021-2783426,Yes
ES-2021-2783426,Yes
ES-2021-2783426,Yes
ES-2021-2851130,Yes
ES-2021-2901069,Yes
ES-2021-2901069,Yes
ES-2021-2901069,Yes
ES-2021-2905780,Yes
ES-2021-2933395,Yes
ES-2021-2933395,Yes
ES-2021-2933395,Yes
ES-2021-2933395,Yes
ES-2021-2933395,Yes
ES-2021-2933395,Yes
ES-2021-2979530,Yes
ES-2021-3277356,Yes
ES-2021-3277356,Yes
ES-2021-3277356,Yes
ES-2021-3380674,Yes
ES-2021-3380674,Yes
ES-2021-3424970,Yes
ES-2021-3609825,Yes
ES-2021-3638264,Yes
ES-2021-3730302,Yes
ES-2021-3730302,Yes
ES-2021-4079805,Yes
ES-2021-4079805,Yes
ES-2021-4079805,Yes
ES-2021-4147581,Yes
ES-2021-4295205,Yes
ES-2021-4359397,Yes
ES-2021-4385660,Yes
ES-2021-4385660,Yes
ES-2021-4385660,Yes
ES-2021-4387160,Yes
ES-2021-4387160,Yes
ES-2021-4401602,Yes
ES-2021-4442693,Yes
ES-2021-4472745,Yes
ES-2021-4472745,Yes
ES-2021-4505254,Yes
ES-2021-4505254,Yes
ES-2021-4535588,Yes
ES-2021-4535588,Yes
ES-2021-4535588,Yes
ES-2021-4535588,Yes
ES-2021-4535588,Yes
ES-2021-4535588,Yes
ES-2021-4535588,Yes
ES-2021-4598380,Yes
ES-2021-4598380,Yes
ES-2021-4598380,Yes
ES-2021-4598380,Yes
ES-2021-4616921,Yes
ES-2021-4616921,Yes
ES-2021-4626156,Yes
ES-2021-4790238,Yes
ES-2021-4856325,Yes
ES-2021-4856325,Yes
ES-2021-4856325,Yes
ES-2021-4963892,Yes
ES-2021-4963892,Yes
ES-2021-4967939,Yes
ES-2021-5060319,Yes
ES-2021-5166372,Yes
ES-2021-5166372,Yes
ES-2021-5247585,Yes
ES-2021-5247585,Yes
ES-2021-5247585,Yes
ES-2021-5247585,Yes
ES-2021-5247585,Yes
ES-2021-5275437,Yes
ES-2021-5296123,Yes
ES-2021-5296123,Yes
ES-2021-5297792,Yes
ES-2021-5297792,Yes
ES-2021-5297792,Yes
ES-2021-5368780,Yes
ES-2021-5385720,Yes
ES-2021-5389384,Yes
ES-2021-5389384,Yes
ES-2021-5438886,Yes
ES-2021-5438886,Yes
ES-2021-5438886,Yes
ES-2021-5444511,Yes
ES-2021-5513140,Yes
ES-2021-5621218,Yes
ES-2021-5621218,Yes
ES-2021-5621218,Yes
ES-2021-5621218,Yes
ES-2021-5666305,Yes
ES-2021-5706764,Yes
ES-2021-5710826,Yes
ES-2021-5710826,Yes
ES-2021-5762425,Yes
ES-2021-5762425,Yes
ES-2021-5822421,Yes
ES-2021-5822421,Yes
ES-2021-5822421,Yes
ES-2021-5822421,Yes
ES-2021-5822421,Yes
ES-2021-5830221,Yes
ES-2021-5835827,Yes
ES-2021-5835827,Yes
ES-2021-5891109,Yes
ES-2021-5891109,Yes
ES-2021-5891109,Yes
ES-2021-5891109,Yes
ES-2021-5891109,Yes
ES-2021-5891109,Yes
ES-2021-5900887,Yes
ES-2021-5900887,Yes
ES-2021-5900887,Yes
ES-2021-5900887,Yes
ES-2021-5900887,Yes
ES-2021-5900887,Yes
ES-2021-5900887,Yes
IT-2018-1521406,Yes
IT-2018-1521406,Yes
IT-2018-1521406,Yes
IT-2018-1646767,Yes
IT-2018-1646767,Yes
IT-2018-2536577,Yes
IT-2018-2536577,Yes
IT-2018-2536577,Yes
IT-2018-2536577,Yes
IT-2018-2536577,Yes
IT-2018-2536577,Yes
IT-2018-2536577,Yes
IT-2018-2536577,Yes
IT-2018-2861112,Yes
IT-2018-2861112,Yes
IT-2018-2861112,Yes
IT-2018-2911544,Yes
IT-2018-3468929,Yes
IT-2018-4648014,Yes
IT-2018-4648014,Yes
IT-2018-4648014,Yes
IT-2018-4648014,Yes
IT-2018-4812190,Yes
IT-2018-4913414,Yes
IT-2018-4913414,Yes
IT-2018-4913414,Yes
IT-2019-1180980,Yes
IT-2019-1180980,Yes
IT-2019-3091951,Yes
IT-2019-3091951,Yes
IT-2019-3613157,Yes
IT-2019-3613157,Yes
IT-2019-3746228,Yes
IT-2019-3986604,Yes
IT-2019-5711400,Yes
IT-2019-5711400,Yes
IT-2019-5711400,Yes
IT-2019-5711400,Yes
IT-2020-1498487,Yes
IT-2020-1498487,Yes
IT-2020-1498487,Yes
IT-2020-1498487,Yes
IT-2020-1498487,Yes
IT-2020-1665440,Yes
IT-2020-2280110,Yes
IT-2020-2720003,Yes
IT-2020-2720003,Yes
IT-2020-3060899,Yes
IT-2020-3060899,Yes
IT-2020-3060899,Yes
IT-2020-3132916,Yes
IT-2020-3132916,Yes
IT-2020-3159247,Yes
IT-2020-3253363,Yes
IT-2020-3395178,Yes
IT-2020-3395178,Yes
IT-2020-3395178,Yes
IT-2020-3395178,Yes
IT-2020-3468927,Yes
IT-2020-3468927,Yes
IT-2020-3468927,Yes
IT-2020-3876077,Yes
IT-2020-4354136,Yes
IT-2020-4354136,Yes
IT-2020-4354136,Yes
IT-2020-4864604,Yes
IT-2020-4864604,Yes
IT-2020-4864604,Yes
IT-2020-4869515,Yes
IT-2020-4962578,Yes
IT-2021-1082723,Yes
IT-2021-1082723,Yes
IT-2021-1147467,Yes
IT-2021-1147467,Yes
IT-2021-1147467,Yes
IT-2021-1725451,Yes
IT-2021-1858881,Yes
IT-2021-1858881,Yes
IT-2021-2068457,Yes
IT-2021-2277753,Yes
IT-2021-2277753,Yes
IT-2021-2508683,Yes
IT-2021-2508683,Yes
IT-2021-3831682,Yes
IT-2021-3941500,Yes
IT-2021-4273010,Yes
IT-2021-4273010,Yes
IT-2021-4273010,Yes
IT-2021-4273010,Yes
IT-2021-4499061,Yes
IT-2021-4499061,Yes
IT-2021-4499061,Yes
IT-2021-4920187,Yes
IT-2021-5465876,Yes
IT-2021-5470294,Yes
IT-2021-5470294,Yes
IT-2021-5470294,Yes
IT-2021-5470294,Yes
IT-2021-5470294,Yes
IT-2021-5470294,Yes
IT-2021-5517515,Yes
